
==> Dump Arguments:
pruning method: 
visible gpus: 7
sensitivity analysis: OFF
overall pruning ratio: 0.2
stage: 0

0
0

==> Setting params:
batch_size : 600
test_batch_size : 600
epochs : 500
lr_epochs : 500
lr : 0.0001
momentum : 0.9
weight_decay : 0.0001
no_cuda : False
seed : 1
log_interval : 100
arch : HAR
pretrained : None
evaluate : False
retrain : False
prune : None
prune_shape : vector
prune_target : None
stage : 0
debug : -1
candidates_pruning_ratios : [0, 0, 0, 0, 0]
gpus : [0]
visible_gpus : 7
learning_rate_list : [0.0001]
sa : False
sen_ana : False
overall_pruning_ratio : 0.2
cuda : False
====================

Download HAR dataset ...
Download HAR dataset ...
HAR_CNN(
  (conv1): Conv2d(9, 18, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv1): ReLU()
  (pool1): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(18, 36, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv2): ReLU()
  (pool2): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv3): Conv2d(36, 72, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv3): ReLU()
  (pool3): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (ip1): Linear(in_features=1152, out_features=6, bias=True)
)
[Epoch: 1| Loss: 1.7977| Accuracy: 14.18| Best Accuracy: 14.18]
[Epoch: 2| Loss: 1.7565| Accuracy: 13.91| Best Accuracy: 14.18]
[Epoch: 3| Loss: 1.7133| Accuracy: 14.39| Best Accuracy: 14.39]
[Epoch: 4| Loss: 1.6685| Accuracy: 16.59| Best Accuracy: 16.59]
[Epoch: 5| Loss: 1.6228| Accuracy: 18.80| Best Accuracy: 18.80]
[Epoch: 6| Loss: 1.5752| Accuracy: 36.31| Best Accuracy: 36.31]
[Epoch: 7| Loss: 1.5242| Accuracy: 40.52| Best Accuracy: 40.52]
[Epoch: 8| Loss: 1.4682| Accuracy: 47.20| Best Accuracy: 47.20]
[Epoch: 9| Loss: 1.4060| Accuracy: 53.58| Best Accuracy: 53.58]
[Epoch: 10| Loss: 1.3376| Accuracy: 60.88| Best Accuracy: 60.88]
[Epoch: 11| Loss: 1.2641| Accuracy: 65.08| Best Accuracy: 65.08]
[Epoch: 12| Loss: 1.1900| Accuracy: 67.83| Best Accuracy: 67.83]
[Epoch: 13| Loss: 1.1204| Accuracy: 70.17| Best Accuracy: 70.17]
[Epoch: 14| Loss: 1.0582| Accuracy: 71.87| Best Accuracy: 71.87]
[Epoch: 15| Loss: 1.0032| Accuracy: 73.46| Best Accuracy: 73.46]
[Epoch: 16| Loss: 0.9539| Accuracy: 74.21| Best Accuracy: 74.21]
[Epoch: 17| Loss: 0.9086| Accuracy: 74.75| Best Accuracy: 74.75]
[Epoch: 18| Loss: 0.8667| Accuracy: 75.33| Best Accuracy: 75.33]
[Epoch: 19| Loss: 0.8278| Accuracy: 75.70| Best Accuracy: 75.70]
[Epoch: 20| Loss: 0.7916| Accuracy: 76.55| Best Accuracy: 76.55]
[Epoch: 21| Loss: 0.7575| Accuracy: 76.99| Best Accuracy: 76.99]
[Epoch: 22| Loss: 0.7255| Accuracy: 77.50| Best Accuracy: 77.50]
[Epoch: 23| Loss: 0.6958| Accuracy: 77.71| Best Accuracy: 77.71]
[Epoch: 24| Loss: 0.6681| Accuracy: 78.18| Best Accuracy: 78.18]
[Epoch: 25| Loss: 0.6423| Accuracy: 78.72| Best Accuracy: 78.72]
[Epoch: 26| Loss: 0.6184| Accuracy: 79.33| Best Accuracy: 79.33]
[Epoch: 27| Loss: 0.5964| Accuracy: 79.71| Best Accuracy: 79.71]
[Epoch: 28| Loss: 0.5761| Accuracy: 80.08| Best Accuracy: 80.08]
[Epoch: 29| Loss: 0.5576| Accuracy: 80.32| Best Accuracy: 80.32]
[Epoch: 30| Loss: 0.5406| Accuracy: 80.73| Best Accuracy: 80.73]
[Epoch: 31| Loss: 0.5250| Accuracy: 81.03| Best Accuracy: 81.03]
[Epoch: 32| Loss: 0.5106| Accuracy: 81.51| Best Accuracy: 81.51]
[Epoch: 33| Loss: 0.4975| Accuracy: 81.68| Best Accuracy: 81.68]
[Epoch: 34| Loss: 0.4853| Accuracy: 82.02| Best Accuracy: 82.02]
[Epoch: 35| Loss: 0.4740| Accuracy: 82.49| Best Accuracy: 82.49]
[Epoch: 36| Loss: 0.4635| Accuracy: 82.86| Best Accuracy: 82.86]
[Epoch: 37| Loss: 0.4538| Accuracy: 83.17| Best Accuracy: 83.17]
[Epoch: 38| Loss: 0.4446| Accuracy: 83.44| Best Accuracy: 83.44]
[Epoch: 39| Loss: 0.4361| Accuracy: 83.85| Best Accuracy: 83.85]
[Epoch: 40| Loss: 0.4280| Accuracy: 84.09| Best Accuracy: 84.09]
[Epoch: 41| Loss: 0.4204| Accuracy: 84.22| Best Accuracy: 84.22]
[Epoch: 42| Loss: 0.4133| Accuracy: 84.53| Best Accuracy: 84.53]
[Epoch: 43| Loss: 0.4066| Accuracy: 84.70| Best Accuracy: 84.70]
[Epoch: 44| Loss: 0.4002| Accuracy: 84.93| Best Accuracy: 84.93]
[Epoch: 45| Loss: 0.3942| Accuracy: 85.24| Best Accuracy: 85.24]
[Epoch: 46| Loss: 0.3884| Accuracy: 85.31| Best Accuracy: 85.31]
[Epoch: 47| Loss: 0.3830| Accuracy: 85.61| Best Accuracy: 85.61]
[Epoch: 48| Loss: 0.3779| Accuracy: 85.85| Best Accuracy: 85.85]
[Epoch: 49| Loss: 0.3730| Accuracy: 85.99| Best Accuracy: 85.99]
[Epoch: 50| Loss: 0.3684| Accuracy: 86.09| Best Accuracy: 86.09]
[Epoch: 51| Loss: 0.3640| Accuracy: 86.22| Best Accuracy: 86.22]
[Epoch: 52| Loss: 0.3598| Accuracy: 86.39| Best Accuracy: 86.39]
[Epoch: 53| Loss: 0.3559| Accuracy: 86.60| Best Accuracy: 86.60]
[Epoch: 54| Loss: 0.3521| Accuracy: 86.73| Best Accuracy: 86.73]
[Epoch: 55| Loss: 0.3485| Accuracy: 86.80| Best Accuracy: 86.80]
[Epoch: 56| Loss: 0.3450| Accuracy: 86.97| Best Accuracy: 86.97]
[Epoch: 57| Loss: 0.3418| Accuracy: 87.07| Best Accuracy: 87.07]
[Epoch: 58| Loss: 0.3386| Accuracy: 87.17| Best Accuracy: 87.17]
[Epoch: 59| Loss: 0.3357| Accuracy: 87.28| Best Accuracy: 87.28]
[Epoch: 60| Loss: 0.3328| Accuracy: 87.38| Best Accuracy: 87.38]
[Epoch: 61| Loss: 0.3301| Accuracy: 87.58| Best Accuracy: 87.58]
[Epoch: 62| Loss: 0.3275| Accuracy: 87.68| Best Accuracy: 87.68]
[Epoch: 63| Loss: 0.3250| Accuracy: 87.82| Best Accuracy: 87.82]
[Epoch: 64| Loss: 0.3226| Accuracy: 87.92| Best Accuracy: 87.92]
[Epoch: 65| Loss: 0.3203| Accuracy: 87.92| Best Accuracy: 87.92]
