
==> Dump Arguments:
pruning method: intermittent
visible gpus: 7
sensitivity analysis: OFF
overall pruning ratio: 0.2
stage: 1

0
0

==> Setting params:
batch_size : 600
test_batch_size : 600
epochs : 500
lr_epochs : 500
lr : 0.0001
momentum : 0.9
weight_decay : 0.0001
no_cuda : False
seed : 1
log_interval : 100
arch : HAR
pretrained : saved_models/intermittent/HAR/stage_0.pth.tar
evaluate : False
retrain : False
prune : intermittent
prune_shape : vector
prune_target : None
stage : 1
debug : -1
candidates_pruning_ratios : [0.0, 0.0, 0.0, 0.0]
gpus : [0]
visible_gpus : 7
learning_rate_list : [0.0001]
sa : True
sen_ana : False
overall_pruning_ratio : 0.2
cuda : False
====================

Download HAR dataset ...
Download HAR dataset ...
HAR_CNN(
  (conv1): Conv2d(9, 18, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv1): ReLU()
  (pool1): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(18, 36, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv2): ReLU()
  (pool2): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv3): Conv2d(36, 72, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv3): ReLU()
  (pool3): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (ip1): Linear(in_features=1152, out_features=6, bias=True)
)
==> Start pruning ...
[4608, 3840, 3264, 412]
===> Starting Simulated Annealing...
[Iter 0] cur_temp: 100.00 | stop_temp: 20.00 | Loss: -inf | Best perf: -inf[Iter 1] cur_temp: 90.00 | stop_temp: 20.00 | Loss: -2.0052 | Best perf: -2.0052[Iter 2] cur_temp: 81.00 | stop_temp: 20.00 | Loss: -2.8899 | Best perf: -2.0052[Iter 3] cur_temp: 72.90 | stop_temp: 20.00 | Loss: -2.0465 | Best perf: -2.0052[Iter 4] cur_temp: 65.61 | stop_temp: 20.00 | Loss: -1.9127 | Best perf: -1.9127[Iter 5] cur_temp: 59.05 | stop_temp: 20.00 | Loss: -3.9799 | Best perf: -1.9127[Iter 6] cur_temp: 53.14 | stop_temp: 20.00 | Loss: -2.7649 | Best perf: -1.9127[Iter 7] cur_temp: 47.83 | stop_temp: 20.00 | Loss: -2.8899 | Best perf: -1.9127[Iter 8] cur_temp: 43.05 | stop_temp: 20.00 | Loss: -2.1346 | Best perf: -1.9127[Iter 9] cur_temp: 38.74 | stop_temp: 20.00 | Loss: -2.8899 | Best perf: -1.9127[Iter 10] cur_temp: 34.87 | stop_temp: 20.00 | Loss: -2.8899 | Best perf: -1.9127[Iter 11] cur_temp: 31.38 | stop_temp: 20.00 | Loss: -3.0397 | Best perf: -1.9127[Iter 12] cur_temp: 28.24 | stop_temp: 20.00 | Loss: -3.0412 | Best perf: -1.9127[Iter 13] cur_temp: 25.42 | stop_temp: 20.00 | Loss: -2.8899 | Best perf: -1.9127[Iter 14] cur_temp: 22.88 | stop_temp: 20.00 | Loss: -2.6278 | Best perf: -1.9127[Iter 15] cur_temp: 20.59 | stop_temp: 20.00 | Loss: -3.3637 | Best perf: -1.9127
------------------------------------------------------------------
- Intermittent-aware weight pruning info:
- Layer 0:        108 /        324 (33.3%) weights are pruned
- Layer 1:        648 /       1296 (50.0%) weights are pruned
- Layer 2:       2808 /       5184 (54.2%) weights are pruned
- Layer 3:        800 /       6912 (11.6%) weights are pruned
- Total  :       4364 /      13716 (31.8%) weights are pruned
------------------------------------------------------------------

[Epoch: 1| Loss: 1.0804| Accuracy: 65.08| Best Accuracy: 65.08]
[Epoch: 2| Loss: 0.6739| Accuracy: 77.64| Best Accuracy: 77.64]
[Epoch: 3| Loss: 0.5333| Accuracy: 82.12| Best Accuracy: 82.12]
[Epoch: 4| Loss: 0.4739| Accuracy: 83.00| Best Accuracy: 83.00]
[Epoch: 5| Loss: 0.4380| Accuracy: 83.41| Best Accuracy: 83.41]
[Epoch: 6| Loss: 0.4125| Accuracy: 83.95| Best Accuracy: 83.95]
[Epoch: 7| Loss: 0.3937| Accuracy: 84.70| Best Accuracy: 84.70]
[Epoch: 8| Loss: 0.3795| Accuracy: 85.31| Best Accuracy: 85.31]
[Epoch: 9| Loss: 0.3685| Accuracy: 85.92| Best Accuracy: 85.92]
[Epoch: 10| Loss: 0.3598| Accuracy: 86.53| Best Accuracy: 86.53]
[Epoch: 11| Loss: 0.3525| Accuracy: 86.80| Best Accuracy: 86.80]
[Epoch: 12| Loss: 0.3463| Accuracy: 86.87| Best Accuracy: 86.87]
[Epoch: 13| Loss: 0.3409| Accuracy: 87.11| Best Accuracy: 87.11]
[Epoch: 14| Loss: 0.3361| Accuracy: 87.21| Best Accuracy: 87.21]
[Epoch: 15| Loss: 0.3318| Accuracy: 87.34| Best Accuracy: 87.34]
[Epoch: 16| Loss: 0.3278| Accuracy: 87.24| Best Accuracy: 87.34]
[Epoch: 17| Loss: 0.3242| Accuracy: 87.38| Best Accuracy: 87.38]
[Epoch: 18| Loss: 0.3208| Accuracy: 87.58| Best Accuracy: 87.58]
[Epoch: 19| Loss: 0.3177| Accuracy: 87.72| Best Accuracy: 87.72]
[Epoch: 20| Loss: 0.3147| Accuracy: 87.92| Best Accuracy: 87.92]
[Epoch: 21| Loss: 0.3120| Accuracy: 87.99| Best Accuracy: 87.99]
[Epoch: 22| Loss: 0.3094| Accuracy: 88.06| Best Accuracy: 88.06]
[Epoch: 23| Loss: 0.3069| Accuracy: 88.29| Best Accuracy: 88.29]
[Epoch: 24| Loss: 0.3046| Accuracy: 88.33| Best Accuracy: 88.33]
[Epoch: 25| Loss: 0.3024| Accuracy: 88.39| Best Accuracy: 88.39]
[Epoch: 26| Loss: 0.3003| Accuracy: 88.43| Best Accuracy: 88.43]
[Epoch: 27| Loss: 0.2982| Accuracy: 88.53| Best Accuracy: 88.53]
[Epoch: 28| Loss: 0.2963| Accuracy: 88.56| Best Accuracy: 88.56]
[Epoch: 29| Loss: 0.2945| Accuracy: 88.67| Best Accuracy: 88.67]
[Epoch: 30| Loss: 0.2928| Accuracy: 88.70| Best Accuracy: 88.70]
[Epoch: 31| Loss: 0.2911| Accuracy: 88.90| Best Accuracy: 88.90]
[Epoch: 32| Loss: 0.2895| Accuracy: 88.90| Best Accuracy: 88.90]
[Epoch: 33| Loss: 0.2880| Accuracy: 88.94| Best Accuracy: 88.94]
[Epoch: 34| Loss: 0.2865| Accuracy: 89.07| Best Accuracy: 89.07]
[Epoch: 35| Loss: 0.2851| Accuracy: 89.11| Best Accuracy: 89.11]
[Epoch: 36| Loss: 0.2837| Accuracy: 89.21| Best Accuracy: 89.21]
[Epoch: 37| Loss: 0.2825| Accuracy: 89.28| Best Accuracy: 89.28]
[Epoch: 38| Loss: 0.2812| Accuracy: 89.41| Best Accuracy: 89.41]
[Epoch: 39| Loss: 0.2800| Accuracy: 89.41| Best Accuracy: 89.41]
[Epoch: 40| Loss: 0.2789| Accuracy: 89.45| Best Accuracy: 89.45]
[Epoch: 41| Loss: 0.2778| Accuracy: 89.55| Best Accuracy: 89.55]
[Epoch: 42| Loss: 0.2767| Accuracy: 89.65| Best Accuracy: 89.65]
[Epoch: 43| Loss: 0.2757| Accuracy: 89.72| Best Accuracy: 89.72]
[Epoch: 44| Loss: 0.2747| Accuracy: 89.75| Best Accuracy: 89.75]
[Epoch: 45| Loss: 0.2738| Accuracy: 89.85| Best Accuracy: 89.85]
[Epoch: 46| Loss: 0.2729| Accuracy: 89.85| Best Accuracy: 89.85]
[Epoch: 47| Loss: 0.2720| Accuracy: 89.82| Best Accuracy: 89.85]
[Epoch: 48| Loss: 0.2712| Accuracy: 89.82| Best Accuracy: 89.85]
[Epoch: 49| Loss: 0.2703| Accuracy: 89.82| Best Accuracy: 89.85]
[Epoch: 50| Loss: 0.2695| Accuracy: 89.82| Best Accuracy: 89.85]
[Epoch: 51| Loss: 0.2688| Accuracy: 89.85| Best Accuracy: 89.85]
[Epoch: 52| Loss: 0.2680| Accuracy: 89.85| Best Accuracy: 89.85]
[Epoch: 53| Loss: 0.2673| Accuracy: 89.92| Best Accuracy: 89.92]
[Epoch: 54| Loss: 0.2666| Accuracy: 89.92| Best Accuracy: 89.92]
[Epoch: 55| Loss: 0.2660| Accuracy: 89.96| Best Accuracy: 89.96]
[Epoch: 56| Loss: 0.2653| Accuracy: 90.02| Best Accuracy: 90.02]
[Epoch: 57| Loss: 0.2647| Accuracy: 90.09| Best Accuracy: 90.09]
[Epoch: 58| Loss: 0.2640| Accuracy: 90.09| Best Accuracy: 90.09]
[Epoch: 59| Loss: 0.2635| Accuracy: 90.09| Best Accuracy: 90.09]
[Epoch: 60| Loss: 0.2629| Accuracy: 90.13| Best Accuracy: 90.13]
[Epoch: 61| Loss: 0.2623| Accuracy: 90.16| Best Accuracy: 90.16]
[Epoch: 62| Loss: 0.2618| Accuracy: 90.16| Best Accuracy: 90.16]
[Epoch: 63| Loss: 0.2612| Accuracy: 90.16| Best Accuracy: 90.16]
[Epoch: 64| Loss: 0.2607| Accuracy: 90.23| Best Accuracy: 90.23]
[Epoch: 65| Loss: 0.2602| Accuracy: 90.26| Best Accuracy: 90.26]
[Epoch: 66| Loss: 0.2597| Accuracy: 90.30| Best Accuracy: 90.30]
[Epoch: 67| Loss: 0.2593| Accuracy: 90.30| Best Accuracy: 90.30]
[Epoch: 68| Loss: 0.2588| Accuracy: 90.30| Best Accuracy: 90.30]
[Epoch: 69| Loss: 0.2583| Accuracy: 90.33| Best Accuracy: 90.33]
[Epoch: 70| Loss: 0.2579| Accuracy: 90.36| Best Accuracy: 90.36]
[Epoch: 71| Loss: 0.2575| Accuracy: 90.36| Best Accuracy: 90.36]
[Epoch: 72| Loss: 0.2570| Accuracy: 90.36| Best Accuracy: 90.36]
[Epoch: 73| Loss: 0.2566| Accuracy: 90.36| Best Accuracy: 90.36]
[Epoch: 74| Loss: 0.2562| Accuracy: 90.36| Best Accuracy: 90.36]
