
==> Dump Arguments:
pruning method: energy
visible gpus: 7
sensitivity analysis: OFF
overall pruning ratio: 0.2
stage: 0

0
0

==> Setting params:
batch_size : 600
test_batch_size : 600
epochs : 500
lr_epochs : 500
lr : 0.0001
momentum : 0.9
weight_decay : 0.0001
no_cuda : False
seed : 1
log_interval : 100
arch : HAR
pretrained : saved_models/HAR.origin.pth.tar
evaluate : False
retrain : False
prune : energy
prune_shape : vector
prune_target : None
stage : 0
debug : -1
candidates_pruning_ratios : [0.0, 0.0, 0.0, 0.0]
gpus : [0]
visible_gpus : 7
learning_rate_list : [0.0001]
sa : True
sen_ana : False
overall_pruning_ratio : 0.2
cuda : False
====================

Download HAR dataset ...
Download HAR dataset ...
HAR_CNN(
  (conv1): Conv2d(9, 18, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv1): ReLU()
  (pool1): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(18, 36, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv2): ReLU()
  (pool2): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv3): Conv2d(36, 72, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv3): ReLU()
  (pool3): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (ip1): Linear(in_features=1152, out_features=6, bias=True)
)
==> Start pruning ...
[0.0005401202893587232, 0.0007631206717778771, 0.001275457760132354, 0.00036837253932152467]
===> Starting Simulated Annealing...
[Iter 0] cur_temp: 100.00 | stop_temp: 20.00 | Loss: -inf | Best perf: -inf[Iter 1] cur_temp: 90.00 | stop_temp: 20.00 | Loss: -0.4561 | Best perf: -0.4561[Iter 2] cur_temp: 81.00 | stop_temp: 20.00 | Loss: -0.3627 | Best perf: -0.3627[Iter 3] cur_temp: 72.90 | stop_temp: 20.00 | Loss: -0.3777 | Best perf: -0.3627[Iter 4] cur_temp: 65.61 | stop_temp: 20.00 | Loss: -0.5860 | Best perf: -0.3627[Iter 5] cur_temp: 59.05 | stop_temp: 20.00 | Loss: -0.3532 | Best perf: -0.3532[Iter 6] cur_temp: 53.14 | stop_temp: 20.00 | Loss: -0.9274 | Best perf: -0.3532[Iter 7] cur_temp: 47.83 | stop_temp: 20.00 | Loss: -0.5646 | Best perf: -0.3532[Iter 8] cur_temp: 43.05 | stop_temp: 20.00 | Loss: -0.7923 | Best perf: -0.3532[Iter 9] cur_temp: 38.74 | stop_temp: 20.00 | Loss: -0.5624 | Best perf: -0.3532[Iter 10] cur_temp: 34.87 | stop_temp: 20.00 | Loss: -0.3274 | Best perf: -0.3274[Iter 11] cur_temp: 31.38 | stop_temp: 20.00 | Loss: -0.5490 | Best perf: -0.3274[Iter 12] cur_temp: 28.24 | stop_temp: 20.00 | Loss: -0.3589 | Best perf: -0.3274[Iter 13] cur_temp: 25.42 | stop_temp: 20.00 | Loss: -0.3399 | Best perf: -0.3274[Iter 14] cur_temp: 22.88 | stop_temp: 20.00 | Loss: -0.6146 | Best perf: -0.3274[Iter 15] cur_temp: 20.59 | stop_temp: 20.00 | Loss: -0.3627 | Best perf: -0.3274
------------------------------------------------------------------
- Intermittent-aware weight pruning info:
- Layer 0:          0 /        324 ( 0.0%) weights are pruned
- Layer 1:        108 /       1296 ( 8.3%) weights are pruned
- Layer 2:       1728 /       5184 (33.3%) weights are pruned
- Layer 3:        672 /       6912 ( 9.7%) weights are pruned
- Total  :       2508 /      13716 (18.3%) weights are pruned
------------------------------------------------------------------

[Epoch: 1| Loss: 0.2540| Accuracy: 90.63| Best Accuracy: 90.63]
[Epoch: 2| Loss: 0.2552| Accuracy: 90.91| Best Accuracy: 90.91]
[Epoch: 3| Loss: 0.2602| Accuracy: 90.97| Best Accuracy: 90.97]
[Epoch: 4| Loss: 0.2587| Accuracy: 91.01| Best Accuracy: 91.01]
[Epoch: 5| Loss: 0.2587| Accuracy: 91.08| Best Accuracy: 91.08]
[Epoch: 6| Loss: 0.2598| Accuracy: 91.01| Best Accuracy: 91.08]
[Epoch: 7| Loss: 0.2602| Accuracy: 91.04| Best Accuracy: 91.08]
[Epoch: 8| Loss: 0.2605| Accuracy: 91.04| Best Accuracy: 91.08]
[Epoch: 9| Loss: 0.2609| Accuracy: 91.01| Best Accuracy: 91.08]
[Epoch: 10| Loss: 0.2612| Accuracy: 90.94| Best Accuracy: 91.08]
[Epoch: 11| Loss: 0.2615| Accuracy: 90.97| Best Accuracy: 91.08]
[Epoch: 12| Loss: 0.2617| Accuracy: 90.97| Best Accuracy: 91.08]
[Epoch: 13| Loss: 0.2619| Accuracy: 91.01| Best Accuracy: 91.08]
[Epoch: 14| Loss: 0.2621| Accuracy: 91.01| Best Accuracy: 91.08]
[Epoch: 15| Loss: 0.2622| Accuracy: 90.97| Best Accuracy: 91.08]
[Epoch: 16| Loss: 0.2624| Accuracy: 91.01| Best Accuracy: 91.08]
[Epoch: 17| Loss: 0.2625| Accuracy: 91.04| Best Accuracy: 91.08]
[Epoch: 18| Loss: 0.2626| Accuracy: 91.08| Best Accuracy: 91.08]
[Epoch: 19| Loss: 0.2627| Accuracy: 91.08| Best Accuracy: 91.08]
[Epoch: 20| Loss: 0.2627| Accuracy: 91.08| Best Accuracy: 91.08]
[Epoch: 21| Loss: 0.2628| Accuracy: 91.08| Best Accuracy: 91.08]
[Epoch: 22| Loss: 0.2629| Accuracy: 91.11| Best Accuracy: 91.11]
[Epoch: 23| Loss: 0.2629| Accuracy: 91.11| Best Accuracy: 91.11]
[Epoch: 24| Loss: 0.2630| Accuracy: 91.14| Best Accuracy: 91.14]
[Epoch: 25| Loss: 0.2630| Accuracy: 91.14| Best Accuracy: 91.14]
[Epoch: 26| Loss: 0.2631| Accuracy: 91.18| Best Accuracy: 91.18]
[Epoch: 27| Loss: 0.2631| Accuracy: 91.21| Best Accuracy: 91.21]
[Epoch: 28| Loss: 0.2632| Accuracy: 91.21| Best Accuracy: 91.21]
[Epoch: 29| Loss: 0.2632| Accuracy: 91.21| Best Accuracy: 91.21]
[Epoch: 30| Loss: 0.2632| Accuracy: 91.21| Best Accuracy: 91.21]
[Epoch: 31| Loss: 0.2633| Accuracy: 91.28| Best Accuracy: 91.28]
[Epoch: 32| Loss: 0.2633| Accuracy: 91.35| Best Accuracy: 91.35]
[Epoch: 33| Loss: 0.2634| Accuracy: 91.35| Best Accuracy: 91.35]
[Epoch: 34| Loss: 0.2635| Accuracy: 91.31| Best Accuracy: 91.35]
[Epoch: 35| Loss: 0.2635| Accuracy: 91.31| Best Accuracy: 91.35]
[Epoch: 36| Loss: 0.2636| Accuracy: 91.35| Best Accuracy: 91.35]
[Epoch: 37| Loss: 0.2637| Accuracy: 91.38| Best Accuracy: 91.38]
[Epoch: 38| Loss: 0.2638| Accuracy: 91.38| Best Accuracy: 91.38]
[Epoch: 39| Loss: 0.2639| Accuracy: 91.38| Best Accuracy: 91.38]
[Epoch: 40| Loss: 0.2639| Accuracy: 91.42| Best Accuracy: 91.42]
[Epoch: 41| Loss: 0.2640| Accuracy: 91.42| Best Accuracy: 91.42]
[Epoch: 42| Loss: 0.2641| Accuracy: 91.42| Best Accuracy: 91.42]
[Epoch: 43| Loss: 0.2642| Accuracy: 91.42| Best Accuracy: 91.42]
