
==> Dump Arguments:
pruning method: energy
visible gpus: 7
sensitivity analysis: OFF
overall pruning ratio: 0.2
stage: 2

0
0

==> Setting params:
batch_size : 600
test_batch_size : 600
epochs : 500
lr_epochs : 500
lr : 0.0001
momentum : 0.9
weight_decay : 0.0001
no_cuda : False
seed : 1
log_interval : 100
arch : HAR
pretrained : saved_models/energy/HAR/stage_1.pth.tar
evaluate : False
retrain : False
prune : energy
prune_shape : vector
prune_target : None
stage : 2
debug : -1
candidates_pruning_ratios : [0.0, 0.0, 0.0, 0.0]
gpus : [0]
visible_gpus : 7
learning_rate_list : [0.0001]
sa : True
sen_ana : False
overall_pruning_ratio : 0.2
cuda : False
====================

Download HAR dataset ...
Download HAR dataset ...
HAR_CNN(
  (conv1): Conv2d(9, 18, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv1): ReLU()
  (pool1): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(18, 36, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv2): ReLU()
  (pool2): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv3): Conv2d(36, 72, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv3): ReLU()
  (pool3): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (ip1): Linear(in_features=1152, out_features=6, bias=True)
)
==> Start pruning ...
[0.0005015672411322694, 0.0006317305038334078, 0.0006998647333884808, 0.0003215092677985281]
===> Starting Simulated Annealing...
[Iter 0] cur_temp: 100.00 | stop_temp: 20.00 | Loss: -inf | Best perf: -inf[Iter 1] cur_temp: 90.00 | stop_temp: 20.00 | Loss: -1.8143 | Best perf: -1.8143[Iter 2] cur_temp: 81.00 | stop_temp: 20.00 | Loss: -2.1549 | Best perf: -1.8143[Iter 3] cur_temp: 72.90 | stop_temp: 20.00 | Loss: -1.5743 | Best perf: -1.5743[Iter 4] cur_temp: 65.61 | stop_temp: 20.00 | Loss: -1.1636 | Best perf: -1.1636[Iter 5] cur_temp: 59.05 | stop_temp: 20.00 | Loss: -1.1636 | Best perf: -1.1636[Iter 6] cur_temp: 53.14 | stop_temp: 20.00 | Loss: -1.5743 | Best perf: -1.1636[Iter 7] cur_temp: 47.83 | stop_temp: 20.00 | Loss: -1.1636 | Best perf: -1.1636[Iter 8] cur_temp: 43.05 | stop_temp: 20.00 | Loss: -1.6557 | Best perf: -1.1636[Iter 9] cur_temp: 38.74 | stop_temp: 20.00 | Loss: -1.6557 | Best perf: -1.1636[Iter 10] cur_temp: 34.87 | stop_temp: 20.00 | Loss: -1.6557 | Best perf: -1.1636[Iter 11] cur_temp: 31.38 | stop_temp: 20.00 | Loss: -1.5743 | Best perf: -1.1636[Iter 12] cur_temp: 28.24 | stop_temp: 20.00 | Loss: -1.6557 | Best perf: -1.1636[Iter 13] cur_temp: 25.42 | stop_temp: 20.00 | Loss: -1.1636 | Best perf: -1.1636[Iter 14] cur_temp: 22.88 | stop_temp: 20.00 | Loss: -0.9133 | Best perf: -0.9133[Iter 15] cur_temp: 20.59 | stop_temp: 20.00 | Loss: -1.1636 | Best perf: -0.9133
------------------------------------------------------------------
- Intermittent-aware weight pruning info:
- Layer 0:         54 /        324 (16.7%) weights are pruned
- Layer 1:        432 /       1296 (33.3%) weights are pruned
- Layer 2:       3672 /       5184 (70.8%) weights are pruned
- Layer 3:       1344 /       6912 (19.4%) weights are pruned
- Total  :       5502 /      13716 (40.1%) weights are pruned
------------------------------------------------------------------

[Epoch: 1| Loss: 0.3990| Accuracy: 85.27| Best Accuracy: 85.27]
[Epoch: 2| Loss: 0.2661| Accuracy: 90.97| Best Accuracy: 90.97]
[Epoch: 3| Loss: 0.2407| Accuracy: 91.04| Best Accuracy: 91.04]
[Epoch: 4| Loss: 0.2354| Accuracy: 90.80| Best Accuracy: 91.04]
[Epoch: 5| Loss: 0.2329| Accuracy: 90.80| Best Accuracy: 91.04]
[Epoch: 6| Loss: 0.2309| Accuracy: 90.87| Best Accuracy: 91.04]
[Epoch: 7| Loss: 0.2293| Accuracy: 91.08| Best Accuracy: 91.08]
[Epoch: 8| Loss: 0.2280| Accuracy: 91.21| Best Accuracy: 91.21]
[Epoch: 9| Loss: 0.2269| Accuracy: 91.11| Best Accuracy: 91.21]
[Epoch: 10| Loss: 0.2261| Accuracy: 91.18| Best Accuracy: 91.21]
[Epoch: 11| Loss: 0.2253| Accuracy: 91.21| Best Accuracy: 91.21]
[Epoch: 12| Loss: 0.2246| Accuracy: 91.21| Best Accuracy: 91.21]
[Epoch: 13| Loss: 0.2241| Accuracy: 91.14| Best Accuracy: 91.21]
[Epoch: 14| Loss: 0.2236| Accuracy: 91.14| Best Accuracy: 91.21]
[Epoch: 15| Loss: 0.2232| Accuracy: 91.25| Best Accuracy: 91.25]
[Epoch: 16| Loss: 0.2228| Accuracy: 91.28| Best Accuracy: 91.28]
[Epoch: 17| Loss: 0.2225| Accuracy: 91.21| Best Accuracy: 91.28]
[Epoch: 18| Loss: 0.2223| Accuracy: 91.11| Best Accuracy: 91.28]
[Epoch: 19| Loss: 0.2221| Accuracy: 91.11| Best Accuracy: 91.28]
[Epoch: 20| Loss: 0.2219| Accuracy: 91.21| Best Accuracy: 91.28]
[Epoch: 21| Loss: 0.2218| Accuracy: 91.21| Best Accuracy: 91.28]
[Epoch: 22| Loss: 0.2217| Accuracy: 91.28| Best Accuracy: 91.28]
[Epoch: 23| Loss: 0.2216| Accuracy: 91.28| Best Accuracy: 91.28]
[Epoch: 24| Loss: 0.2215| Accuracy: 91.25| Best Accuracy: 91.28]
[Epoch: 25| Loss: 0.2215| Accuracy: 91.21| Best Accuracy: 91.28]
[Epoch: 26| Loss: 0.2215| Accuracy: 91.25| Best Accuracy: 91.28]
[Epoch: 27| Loss: 0.2215| Accuracy: 91.28| Best Accuracy: 91.28]
[Epoch: 28| Loss: 0.2215| Accuracy: 91.31| Best Accuracy: 91.31]
[Epoch: 29| Loss: 0.2216| Accuracy: 91.35| Best Accuracy: 91.35]
[Epoch: 30| Loss: 0.2216| Accuracy: 91.35| Best Accuracy: 91.35]
[Epoch: 31| Loss: 0.2217| Accuracy: 91.35| Best Accuracy: 91.35]
[Epoch: 32| Loss: 0.2217| Accuracy: 91.42| Best Accuracy: 91.42]
[Epoch: 33| Loss: 0.2218| Accuracy: 91.45| Best Accuracy: 91.45]
[Epoch: 34| Loss: 0.2219| Accuracy: 91.45| Best Accuracy: 91.45]
[Epoch: 35| Loss: 0.2220| Accuracy: 91.42| Best Accuracy: 91.45]
[Epoch: 36| Loss: 0.2221| Accuracy: 91.42| Best Accuracy: 91.45]
[Epoch: 37| Loss: 0.2222| Accuracy: 91.42| Best Accuracy: 91.45]
[Epoch: 38| Loss: 0.2223| Accuracy: 91.45| Best Accuracy: 91.45]
[Epoch: 39| Loss: 0.2224| Accuracy: 91.52| Best Accuracy: 91.52]
[Epoch: 40| Loss: 0.2226| Accuracy: 91.55| Best Accuracy: 91.55]
[Epoch: 41| Loss: 0.2227| Accuracy: 91.55| Best Accuracy: 91.55]
[Epoch: 42| Loss: 0.2228| Accuracy: 91.55| Best Accuracy: 91.55]
[Epoch: 43| Loss: 0.2229| Accuracy: 91.58| Best Accuracy: 91.58]
