
==> Dump Arguments:
pruning method: intermittent
visible gpus: 7
sensitivity analysis: OFF
overall pruning ratio: 0.2
stage: 2

0
0

==> Setting params:
batch_size : 600
test_batch_size : 600
epochs : 500
lr_epochs : 500
lr : 0.0001
momentum : 0.9
weight_decay : 0.0001
no_cuda : False
seed : 1
log_interval : 100
arch : HAR
pretrained : saved_models/intermittent/HAR/stage_1.pth.tar
evaluate : False
retrain : False
prune : intermittent
prune_shape : vector
prune_target : None
stage : 2
debug : -1
candidates_pruning_ratios : [0.0, 0.0, 0.0, 0.0]
gpus : [0]
visible_gpus : 7
learning_rate_list : [0.0001]
sa : True
sen_ana : False
overall_pruning_ratio : 0.2
cuda : False
====================

Download HAR dataset ...
Download HAR dataset ...
HAR_CNN(
  (conv1): Conv2d(9, 18, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv1): ReLU()
  (pool1): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(18, 36, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv2): ReLU()
  (pool2): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv3): Conv2d(36, 72, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv3): ReLU()
  (pool3): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (ip1): Linear(in_features=1152, out_features=6, bias=True)
)
==> Start pruning ...
[3072, 3840, 3264, 326]
===> Starting Simulated Annealing...
[Iter 0] cur_temp: 100.00 | stop_temp: 20.00 | Loss: -inf | Best perf: -inf[Iter 1] cur_temp: 90.00 | stop_temp: 20.00 | Loss: -1.0835 | Best perf: -1.0835[Iter 2] cur_temp: 81.00 | stop_temp: 20.00 | Loss: -1.0839 | Best perf: -1.0835[Iter 3] cur_temp: 72.90 | stop_temp: 20.00 | Loss: -1.1131 | Best perf: -1.0835[Iter 4] cur_temp: 65.61 | stop_temp: 20.00 | Loss: -1.0291 | Best perf: -1.0291[Iter 5] cur_temp: 59.05 | stop_temp: 20.00 | Loss: -1.0180 | Best perf: -1.0180[Iter 6] cur_temp: 53.14 | stop_temp: 20.00 | Loss: -1.1131 | Best perf: -1.0180[Iter 7] cur_temp: 47.83 | stop_temp: 20.00 | Loss: -2.0946 | Best perf: -1.0180[Iter 8] cur_temp: 43.05 | stop_temp: 20.00 | Loss: -2.0183 | Best perf: -1.0180[Iter 9] cur_temp: 38.74 | stop_temp: 20.00 | Loss: -0.9655 | Best perf: -0.9655[Iter 10] cur_temp: 34.87 | stop_temp: 20.00 | Loss: -1.7739 | Best perf: -0.9655[Iter 11] cur_temp: 31.38 | stop_temp: 20.00 | Loss: -1.0839 | Best perf: -0.9655[Iter 12] cur_temp: 28.24 | stop_temp: 20.00 | Loss: -2.4211 | Best perf: -0.9655[Iter 13] cur_temp: 25.42 | stop_temp: 20.00 | Loss: -2.7601 | Best perf: -0.9655[Iter 14] cur_temp: 22.88 | stop_temp: 20.00 | Loss: -1.0839 | Best perf: -0.9655[Iter 15] cur_temp: 20.59 | stop_temp: 20.00 | Loss: -1.3358 | Best perf: -0.9655
------------------------------------------------------------------
- Intermittent-aware weight pruning info:
- Layer 0:        108 /        324 (33.3%) weights are pruned
- Layer 1:       1080 /       1296 (83.3%) weights are pruned
- Layer 2:       3024 /       5184 (58.3%) weights are pruned
- Layer 3:       1696 /       6912 (24.5%) weights are pruned
- Total  :       5908 /      13716 (43.1%) weights are pruned
------------------------------------------------------------------

[Epoch: 1| Loss: 0.7441| Accuracy: 65.46| Best Accuracy: 65.46]
[Epoch: 2| Loss: 0.6259| Accuracy: 79.10| Best Accuracy: 79.10]
[Epoch: 3| Loss: 0.5746| Accuracy: 82.93| Best Accuracy: 82.93]
[Epoch: 4| Loss: 0.5447| Accuracy: 84.76| Best Accuracy: 84.76]
[Epoch: 5| Loss: 0.5215| Accuracy: 85.17| Best Accuracy: 85.17]
[Epoch: 6| Loss: 0.5031| Accuracy: 85.00| Best Accuracy: 85.17]
[Epoch: 7| Loss: 0.4878| Accuracy: 85.21| Best Accuracy: 85.21]
[Epoch: 8| Loss: 0.4745| Accuracy: 85.31| Best Accuracy: 85.31]
[Epoch: 9| Loss: 0.4626| Accuracy: 85.37| Best Accuracy: 85.37]
[Epoch: 10| Loss: 0.4518| Accuracy: 85.61| Best Accuracy: 85.61]
[Epoch: 11| Loss: 0.4419| Accuracy: 85.61| Best Accuracy: 85.61]
[Epoch: 12| Loss: 0.4327| Accuracy: 85.78| Best Accuracy: 85.78]
[Epoch: 13| Loss: 0.4242| Accuracy: 85.95| Best Accuracy: 85.95]
[Epoch: 14| Loss: 0.4163| Accuracy: 86.19| Best Accuracy: 86.19]
[Epoch: 15| Loss: 0.4088| Accuracy: 86.29| Best Accuracy: 86.29]
[Epoch: 16| Loss: 0.4018| Accuracy: 86.29| Best Accuracy: 86.29]
[Epoch: 17| Loss: 0.3953| Accuracy: 86.49| Best Accuracy: 86.49]
[Epoch: 18| Loss: 0.3891| Accuracy: 86.56| Best Accuracy: 86.56]
[Epoch: 19| Loss: 0.3832| Accuracy: 86.56| Best Accuracy: 86.56]
[Epoch: 20| Loss: 0.3777| Accuracy: 86.77| Best Accuracy: 86.77]
[Epoch: 21| Loss: 0.3725| Accuracy: 86.94| Best Accuracy: 86.94]
[Epoch: 22| Loss: 0.3676| Accuracy: 87.11| Best Accuracy: 87.11]
[Epoch: 23| Loss: 0.3629| Accuracy: 87.34| Best Accuracy: 87.34]
[Epoch: 24| Loss: 0.3585| Accuracy: 87.44| Best Accuracy: 87.44]
[Epoch: 25| Loss: 0.3542| Accuracy: 87.58| Best Accuracy: 87.58]
[Epoch: 26| Loss: 0.3502| Accuracy: 87.61| Best Accuracy: 87.61]
[Epoch: 27| Loss: 0.3464| Accuracy: 87.72| Best Accuracy: 87.72]
[Epoch: 28| Loss: 0.3428| Accuracy: 87.78| Best Accuracy: 87.78]
[Epoch: 29| Loss: 0.3394| Accuracy: 87.75| Best Accuracy: 87.78]
[Epoch: 30| Loss: 0.3361| Accuracy: 87.68| Best Accuracy: 87.78]
[Epoch: 31| Loss: 0.3330| Accuracy: 87.72| Best Accuracy: 87.78]
[Epoch: 32| Loss: 0.3301| Accuracy: 87.82| Best Accuracy: 87.82]
[Epoch: 33| Loss: 0.3272| Accuracy: 87.82| Best Accuracy: 87.82]
[Epoch: 34| Loss: 0.3246| Accuracy: 87.85| Best Accuracy: 87.85]
[Epoch: 35| Loss: 0.3220| Accuracy: 87.89| Best Accuracy: 87.89]
[Epoch: 36| Loss: 0.3196| Accuracy: 88.06| Best Accuracy: 88.06]
[Epoch: 37| Loss: 0.3172| Accuracy: 88.06| Best Accuracy: 88.06]
[Epoch: 38| Loss: 0.3150| Accuracy: 88.09| Best Accuracy: 88.09]
[Epoch: 39| Loss: 0.3128| Accuracy: 88.19| Best Accuracy: 88.19]
[Epoch: 40| Loss: 0.3108| Accuracy: 88.33| Best Accuracy: 88.33]
[Epoch: 41| Loss: 0.3088| Accuracy: 88.39| Best Accuracy: 88.39]
[Epoch: 42| Loss: 0.3070| Accuracy: 88.50| Best Accuracy: 88.50]
[Epoch: 43| Loss: 0.3052| Accuracy: 88.56| Best Accuracy: 88.56]
