
==> Dump Arguments:
pruning method: energy
visible gpus: 7
sensitivity analysis: OFF
overall pruning ratio: 0.3
stage: 0

0
0

==> Setting params:
batch_size : 600
test_batch_size : 600
epochs : 500
lr_epochs : 500
lr : 0.0001
momentum : 0.9
weight_decay : 0.0001
no_cuda : False
seed : 1
log_interval : 100
arch : HAR
pretrained : saved_models/HAR.origin.pth.tar
evaluate : False
retrain : False
prune : energy
prune_shape : vector
prune_target : None
stage : 0
debug : -1
candidates_pruning_ratios : [0.0, 0.0, 0.0, 0.0]
gpus : [0]
visible_gpus : 7
learning_rate_list : [0.0001]
sa : True
sen_ana : False
overall_pruning_ratio : 0.3
cuda : False
====================

Download HAR dataset ...
Download HAR dataset ...
HAR_CNN(
  (conv1): Conv2d(9, 18, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv1): ReLU()
  (pool1): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(18, 36, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv2): ReLU()
  (pool2): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv3): Conv2d(36, 72, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv3): ReLU()
  (pool3): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (ip1): Linear(in_features=1152, out_features=6, bias=True)
)
==> Start pruning ...
[0.0005401202893587232, 0.0007631206717778771, 0.001275457760132354, 0.00036837253932152467]
===> Starting Simulated Annealing...
[Iter 0] cur_temp: 100.00 | stop_temp: 20.00 | Loss: -inf | Best perf: -inf[Iter 1] cur_temp: 90.00 | stop_temp: 20.00 | Loss: -2.7001 | Best perf: -2.7001[Iter 2] cur_temp: 81.00 | stop_temp: 20.00 | Loss: -0.8711 | Best perf: -0.8711[Iter 3] cur_temp: 72.90 | stop_temp: 20.00 | Loss: -2.7001 | Best perf: -0.8711[Iter 4] cur_temp: 65.61 | stop_temp: 20.00 | Loss: -0.4282 | Best perf: -0.4282[Iter 5] cur_temp: 59.05 | stop_temp: 20.00 | Loss: -2.3249 | Best perf: -0.4282[Iter 6] cur_temp: 53.14 | stop_temp: 20.00 | Loss: -3.5211 | Best perf: -0.4282[Iter 7] cur_temp: 47.83 | stop_temp: 20.00 | Loss: -2.7001 | Best perf: -0.4282[Iter 8] cur_temp: 43.05 | stop_temp: 20.00 | Loss: -2.2083 | Best perf: -0.4282[Iter 9] cur_temp: 38.74 | stop_temp: 20.00 | Loss: -1.6317 | Best perf: -0.4282[Iter 10] cur_temp: 34.87 | stop_temp: 20.00 | Loss: -1.6826 | Best perf: -0.4282[Iter 11] cur_temp: 31.38 | stop_temp: 20.00 | Loss: -1.9973 | Best perf: -0.4282[Iter 12] cur_temp: 28.24 | stop_temp: 20.00 | Loss: -0.9062 | Best perf: -0.4282[Iter 13] cur_temp: 25.42 | stop_temp: 20.00 | Loss: -0.7758 | Best perf: -0.4282[Iter 14] cur_temp: 22.88 | stop_temp: 20.00 | Loss: -1.7953 | Best perf: -0.4282[Iter 15] cur_temp: 20.59 | stop_temp: 20.00 | Loss: -1.6981 | Best perf: -0.4282
------------------------------------------------------------------
- Intermittent-aware weight pruning info:
- Layer 0:         54 /        324 (16.7%) weights are pruned
- Layer 1:        432 /       1296 (33.3%) weights are pruned
- Layer 2:       2160 /       5184 (41.7%) weights are pruned
- Layer 3:       1248 /       6912 (18.1%) weights are pruned
- Total  :       3894 /      13716 (28.4%) weights are pruned
------------------------------------------------------------------

[Epoch: 1| Loss: 0.3186| Accuracy: 90.16| Best Accuracy: 90.16]
[Epoch: 2| Loss: 0.3019| Accuracy: 90.06| Best Accuracy: 90.16]
[Epoch: 3| Loss: 0.2938| Accuracy: 89.89| Best Accuracy: 90.16]
[Epoch: 4| Loss: 0.2879| Accuracy: 89.96| Best Accuracy: 90.16]
[Epoch: 5| Loss: 0.2829| Accuracy: 90.19| Best Accuracy: 90.19]
[Epoch: 6| Loss: 0.2787| Accuracy: 90.16| Best Accuracy: 90.19]
[Epoch: 7| Loss: 0.2750| Accuracy: 90.16| Best Accuracy: 90.19]
[Epoch: 8| Loss: 0.2717| Accuracy: 90.06| Best Accuracy: 90.19]
[Epoch: 9| Loss: 0.2689| Accuracy: 90.09| Best Accuracy: 90.19]
[Epoch: 10| Loss: 0.2665| Accuracy: 90.09| Best Accuracy: 90.19]
[Epoch: 11| Loss: 0.2644| Accuracy: 90.02| Best Accuracy: 90.19]
[Epoch: 12| Loss: 0.2626| Accuracy: 90.02| Best Accuracy: 90.19]
[Epoch: 13| Loss: 0.2610| Accuracy: 90.06| Best Accuracy: 90.19]
[Epoch: 14| Loss: 0.2597| Accuracy: 90.19| Best Accuracy: 90.19]
[Epoch: 15| Loss: 0.2585| Accuracy: 90.23| Best Accuracy: 90.23]
[Epoch: 16| Loss: 0.2574| Accuracy: 90.30| Best Accuracy: 90.30]
[Epoch: 17| Loss: 0.2565| Accuracy: 90.09| Best Accuracy: 90.30]
[Epoch: 18| Loss: 0.2557| Accuracy: 90.06| Best Accuracy: 90.30]
[Epoch: 19| Loss: 0.2550| Accuracy: 90.06| Best Accuracy: 90.30]
[Epoch: 20| Loss: 0.2544| Accuracy: 90.06| Best Accuracy: 90.30]
[Epoch: 21| Loss: 0.2538| Accuracy: 90.06| Best Accuracy: 90.30]
[Epoch: 22| Loss: 0.2533| Accuracy: 90.09| Best Accuracy: 90.30]
[Epoch: 23| Loss: 0.2529| Accuracy: 90.06| Best Accuracy: 90.30]
[Epoch: 24| Loss: 0.2525| Accuracy: 90.19| Best Accuracy: 90.30]
[Epoch: 25| Loss: 0.2521| Accuracy: 90.16| Best Accuracy: 90.30]
[Epoch: 26| Loss: 0.2518| Accuracy: 90.19| Best Accuracy: 90.30]
[Epoch: 27| Loss: 0.2515| Accuracy: 90.16| Best Accuracy: 90.30]
[Epoch: 28| Loss: 0.2512| Accuracy: 90.16| Best Accuracy: 90.30]
[Epoch: 29| Loss: 0.2509| Accuracy: 90.16| Best Accuracy: 90.30]
[Epoch: 30| Loss: 0.2506| Accuracy: 90.13| Best Accuracy: 90.30]
[Epoch: 31| Loss: 0.2504| Accuracy: 90.16| Best Accuracy: 90.30]
[Epoch: 32| Loss: 0.2501| Accuracy: 90.16| Best Accuracy: 90.30]
[Epoch: 33| Loss: 0.2499| Accuracy: 90.19| Best Accuracy: 90.30]
[Epoch: 34| Loss: 0.2497| Accuracy: 90.26| Best Accuracy: 90.30]
[Epoch: 35| Loss: 0.2494| Accuracy: 90.26| Best Accuracy: 90.30]
[Epoch: 36| Loss: 0.2492| Accuracy: 90.26| Best Accuracy: 90.30]
[Epoch: 37| Loss: 0.2490| Accuracy: 90.30| Best Accuracy: 90.30]
[Epoch: 38| Loss: 0.2488| Accuracy: 90.30| Best Accuracy: 90.30]
[Epoch: 39| Loss: 0.2486| Accuracy: 90.33| Best Accuracy: 90.33]
[Epoch: 40| Loss: 0.2484| Accuracy: 90.23| Best Accuracy: 90.33]
[Epoch: 41| Loss: 0.2482| Accuracy: 90.30| Best Accuracy: 90.33]
[Epoch: 42| Loss: 0.2480| Accuracy: 90.30| Best Accuracy: 90.33]
[Epoch: 43| Loss: 0.2478| Accuracy: 90.33| Best Accuracy: 90.33]
