
==> Dump Arguments:
pruning method: energy
visible gpus: 7
sensitivity analysis: OFF
overall pruning ratio: 0.3
stage: 1

0
0

==> Setting params:
batch_size : 600
test_batch_size : 600
epochs : 500
lr_epochs : 500
lr : 0.0001
momentum : 0.9
weight_decay : 0.0001
no_cuda : False
seed : 1
log_interval : 100
arch : HAR
pretrained : saved_models/energy/HAR/stage_0.pth.tar
evaluate : False
retrain : False
prune : energy
prune_shape : vector
prune_target : None
stage : 1
debug : -1
candidates_pruning_ratios : [0.0, 0.0, 0.0, 0.0]
gpus : [0]
visible_gpus : 7
learning_rate_list : [0.0001]
sa : True
sen_ana : False
overall_pruning_ratio : 0.3
cuda : False
====================

Download HAR dataset ...
Download HAR dataset ...
HAR_CNN(
  (conv1): Conv2d(9, 18, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv1): ReLU()
  (pool1): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(18, 36, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv2): ReLU()
  (pool2): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv3): Conv2d(36, 72, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv3): ReLU()
  (pool3): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (ip1): Linear(in_features=1152, out_features=6, bias=True)
)
==> Start pruning ...
[0.0005015672411322694, 0.0005540911145185848, 0.0008897690267438733, 0.0003095786170829161]
===> Starting Simulated Annealing...
[Iter 0] cur_temp: 100.00 | stop_temp: 20.00 | Loss: -inf | Best perf: -inf[Iter 1] cur_temp: 90.00 | stop_temp: 20.00 | Loss: -2.3001 | Best perf: -2.3001[Iter 2] cur_temp: 81.00 | stop_temp: 20.00 | Loss: -2.3001 | Best perf: -2.3001[Iter 3] cur_temp: 72.90 | stop_temp: 20.00 | Loss: -2.1845 | Best perf: -2.1845[Iter 4] cur_temp: 65.61 | stop_temp: 20.00 | Loss: -2.7305 | Best perf: -2.1845[Iter 5] cur_temp: 59.05 | stop_temp: 20.00 | Loss: -2.7305 | Best perf: -2.1845[Iter 6] cur_temp: 53.14 | stop_temp: 20.00 | Loss: -2.3872 | Best perf: -2.1845[Iter 7] cur_temp: 47.83 | stop_temp: 20.00 | Loss: -2.7305 | Best perf: -2.1845[Iter 8] cur_temp: 43.05 | stop_temp: 20.00 | Loss: -2.7305 | Best perf: -2.1845[Iter 9] cur_temp: 38.74 | stop_temp: 20.00 | Loss: -2.0207 | Best perf: -2.0207[Iter 10] cur_temp: 34.87 | stop_temp: 20.00 | Loss: -2.0207 | Best perf: -2.0207[Iter 11] cur_temp: 31.38 | stop_temp: 20.00 | Loss: -2.8772 | Best perf: -2.0207[Iter 12] cur_temp: 28.24 | stop_temp: 20.00 | Loss: -1.8682 | Best perf: -1.8682[Iter 13] cur_temp: 25.42 | stop_temp: 20.00 | Loss: -1.8682 | Best perf: -1.8682[Iter 14] cur_temp: 22.88 | stop_temp: 20.00 | Loss: -2.0718 | Best perf: -1.8682[Iter 15] cur_temp: 20.59 | stop_temp: 20.00 | Loss: -1.8877 | Best perf: -1.8682
------------------------------------------------------------------
- Intermittent-aware weight pruning info:
- Layer 0:         54 /        324 (16.7%) weights are pruned
- Layer 1:        864 /       1296 (66.7%) weights are pruned
- Layer 2:       3888 /       5184 (75.0%) weights are pruned
- Layer 3:       1280 /       6912 (18.5%) weights are pruned
- Total  :       6086 /      13716 (44.4%) weights are pruned
------------------------------------------------------------------

[Epoch: 1| Loss: 1.5433| Accuracy: 74.24| Best Accuracy: 74.24]
[Epoch: 2| Loss: 1.2440| Accuracy: 73.77| Best Accuracy: 74.24]
[Epoch: 3| Loss: 0.9648| Accuracy: 73.43| Best Accuracy: 74.24]
[Epoch: 4| Loss: 0.7178| Accuracy: 74.01| Best Accuracy: 74.24]
[Epoch: 5| Loss: 0.5413| Accuracy: 82.12| Best Accuracy: 82.12]
[Epoch: 6| Loss: 0.4572| Accuracy: 86.43| Best Accuracy: 86.43]
[Epoch: 7| Loss: 0.4260| Accuracy: 86.36| Best Accuracy: 86.43]
[Epoch: 8| Loss: 0.4092| Accuracy: 86.63| Best Accuracy: 86.63]
[Epoch: 9| Loss: 0.3966| Accuracy: 86.83| Best Accuracy: 86.83]
[Epoch: 10| Loss: 0.3866| Accuracy: 86.97| Best Accuracy: 86.97]
[Epoch: 11| Loss: 0.3782| Accuracy: 87.11| Best Accuracy: 87.11]
[Epoch: 12| Loss: 0.3709| Accuracy: 87.24| Best Accuracy: 87.24]
[Epoch: 13| Loss: 0.3644| Accuracy: 87.28| Best Accuracy: 87.28]
[Epoch: 14| Loss: 0.3585| Accuracy: 87.34| Best Accuracy: 87.34]
[Epoch: 15| Loss: 0.3530| Accuracy: 87.51| Best Accuracy: 87.51]
[Epoch: 16| Loss: 0.3480| Accuracy: 87.51| Best Accuracy: 87.51]
[Epoch: 17| Loss: 0.3433| Accuracy: 87.61| Best Accuracy: 87.61]
[Epoch: 18| Loss: 0.3390| Accuracy: 87.75| Best Accuracy: 87.75]
[Epoch: 19| Loss: 0.3350| Accuracy: 87.99| Best Accuracy: 87.99]
[Epoch: 20| Loss: 0.3312| Accuracy: 88.06| Best Accuracy: 88.06]
[Epoch: 21| Loss: 0.3277| Accuracy: 88.19| Best Accuracy: 88.19]
[Epoch: 22| Loss: 0.3244| Accuracy: 88.33| Best Accuracy: 88.33]
[Epoch: 23| Loss: 0.3213| Accuracy: 88.46| Best Accuracy: 88.46]
[Epoch: 24| Loss: 0.3184| Accuracy: 88.46| Best Accuracy: 88.46]
[Epoch: 25| Loss: 0.3156| Accuracy: 88.46| Best Accuracy: 88.46]
[Epoch: 26| Loss: 0.3131| Accuracy: 88.43| Best Accuracy: 88.46]
[Epoch: 27| Loss: 0.3107| Accuracy: 88.46| Best Accuracy: 88.46]
[Epoch: 28| Loss: 0.3084| Accuracy: 88.36| Best Accuracy: 88.46]
[Epoch: 29| Loss: 0.3063| Accuracy: 88.46| Best Accuracy: 88.46]
[Epoch: 30| Loss: 0.3043| Accuracy: 88.50| Best Accuracy: 88.50]
[Epoch: 31| Loss: 0.3024| Accuracy: 88.63| Best Accuracy: 88.63]
[Epoch: 32| Loss: 0.3007| Accuracy: 88.56| Best Accuracy: 88.63]
[Epoch: 33| Loss: 0.2990| Accuracy: 88.67| Best Accuracy: 88.67]
[Epoch: 34| Loss: 0.2974| Accuracy: 88.73| Best Accuracy: 88.73]
[Epoch: 35| Loss: 0.2959| Accuracy: 88.60| Best Accuracy: 88.73]
[Epoch: 36| Loss: 0.2945| Accuracy: 88.63| Best Accuracy: 88.73]
[Epoch: 37| Loss: 0.2932| Accuracy: 88.70| Best Accuracy: 88.73]
[Epoch: 38| Loss: 0.2919| Accuracy: 88.77| Best Accuracy: 88.77]
[Epoch: 39| Loss: 0.2907| Accuracy: 88.77| Best Accuracy: 88.77]
[Epoch: 40| Loss: 0.2896| Accuracy: 88.87| Best Accuracy: 88.87]
[Epoch: 41| Loss: 0.2885| Accuracy: 88.87| Best Accuracy: 88.87]
[Epoch: 42| Loss: 0.2874| Accuracy: 88.94| Best Accuracy: 88.94]
[Epoch: 43| Loss: 0.2864| Accuracy: 88.94| Best Accuracy: 88.94]
[Epoch: 44| Loss: 0.2854| Accuracy: 88.90| Best Accuracy: 88.94]
[Epoch: 45| Loss: 0.2844| Accuracy: 88.80| Best Accuracy: 88.94]
[Epoch: 46| Loss: 0.2835| Accuracy: 88.84| Best Accuracy: 88.94]
[Epoch: 47| Loss: 0.2827| Accuracy: 88.90| Best Accuracy: 88.94]
