
==> Dump Arguments:
pruning method: energy
visible gpus: 7
sensitivity analysis: OFF
overall pruning ratio: 0.2
stage: 0

0
0

==> Setting params:
batch_size : 600
test_batch_size : 600
epochs : 500
lr_epochs : 500
lr : 0.0001
momentum : 0.9
weight_decay : 0.0001
no_cuda : False
seed : 1
log_interval : 100
arch : HAR
pretrained : saved_models/HAR.origin.pth.tar
evaluate : False
retrain : False
prune : energy
prune_shape : vector
prune_target : None
stage : 0
debug : -1
candidates_pruning_ratios : [0.0, 0.0, 0.0, 0.0]
gpus : [0]
visible_gpus : 7
learning_rate_list : [0.0001]
sa : True
sen_ana : False
overall_pruning_ratio : 0.2
cuda : False
====================

Download HAR dataset ...
Download HAR dataset ...
HAR_CNN(
  (conv1): Conv2d(9, 18, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv1): ReLU()
  (pool1): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(18, 36, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv2): ReLU()
  (pool2): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv3): Conv2d(36, 72, kernel_size=(1, 2), stride=(1, 1), padding=(0, 1))
  (relu_conv3): ReLU()
  (pool3): MaxPool2d(kernel_size=(1, 2), stride=2, padding=0, dilation=1, ceil_mode=False)
  (ip1): Linear(in_features=1152, out_features=6, bias=True)
)
==> Start pruning ...
[0.0005401202893587232, 0.0007631206717778771, 0.001275457760132354, 0.00036837253932152467]
===> Starting Simulated Annealing...
[Iter 0] cur_temp: 100.00 | stop_temp: 20.00 | Loss: -inf | Best perf: -inf[Iter 1] cur_temp: 90.00 | stop_temp: 20.00 | Loss: -0.4144 | Best perf: -0.4144[Iter 2] cur_temp: 81.00 | stop_temp: 20.00 | Loss: -0.5624 | Best perf: -0.4144[Iter 3] cur_temp: 72.90 | stop_temp: 20.00 | Loss: -0.5582 | Best perf: -0.4144[Iter 4] cur_temp: 65.61 | stop_temp: 20.00 | Loss: -0.8526 | Best perf: -0.4144[Iter 5] cur_temp: 59.05 | stop_temp: 20.00 | Loss: -0.8526 | Best perf: -0.4144[Iter 6] cur_temp: 53.14 | stop_temp: 20.00 | Loss: -0.3467 | Best perf: -0.3467[Iter 7] cur_temp: 47.83 | stop_temp: 20.00 | Loss: -0.5624 | Best perf: -0.3467[Iter 8] cur_temp: 43.05 | stop_temp: 20.00 | Loss: -0.3621 | Best perf: -0.3467[Iter 9] cur_temp: 38.74 | stop_temp: 20.00 | Loss: -0.7312 | Best perf: -0.3467[Iter 10] cur_temp: 34.87 | stop_temp: 20.00 | Loss: -0.3459 | Best perf: -0.3459[Iter 11] cur_temp: 31.38 | stop_temp: 20.00 | Loss: -0.5622 | Best perf: -0.3459[Iter 12] cur_temp: 28.24 | stop_temp: 20.00 | Loss: -0.5293 | Best perf: -0.3459[Iter 13] cur_temp: 25.42 | stop_temp: 20.00 | Loss: -0.5646 | Best perf: -0.3459[Iter 14] cur_temp: 22.88 | stop_temp: 20.00 | Loss: -0.5624 | Best perf: -0.3459[Iter 15] cur_temp: 20.59 | stop_temp: 20.00 | Loss: -0.4484 | Best perf: -0.3459
------------------------------------------------------------------
- Intermittent-aware weight pruning info:
- Layer 0:          0 /        324 ( 0.0%) weights are pruned
- Layer 1:        216 /       1296 (16.7%) weights are pruned
- Layer 2:       1728 /       5184 (33.3%) weights are pruned
- Layer 3:        544 /       6912 ( 7.9%) weights are pruned
- Total  :       2488 /      13716 (18.1%) weights are pruned
------------------------------------------------------------------

[Epoch: 1| Loss: 0.2402| Accuracy: 91.86| Best Accuracy: 91.86]
[Epoch: 2| Loss: 0.2409| Accuracy: 91.38| Best Accuracy: 91.86]
[Epoch: 3| Loss: 0.2455| Accuracy: 91.31| Best Accuracy: 91.86]
[Epoch: 4| Loss: 0.2439| Accuracy: 91.58| Best Accuracy: 91.86]
[Epoch: 5| Loss: 0.2431| Accuracy: 91.42| Best Accuracy: 91.86]
[Epoch: 6| Loss: 0.2438| Accuracy: 91.28| Best Accuracy: 91.86]
[Epoch: 7| Loss: 0.2445| Accuracy: 91.31| Best Accuracy: 91.86]
[Epoch: 8| Loss: 0.2451| Accuracy: 91.38| Best Accuracy: 91.86]
[Epoch: 9| Loss: 0.2457| Accuracy: 91.31| Best Accuracy: 91.86]
[Epoch: 10| Loss: 0.2463| Accuracy: 91.25| Best Accuracy: 91.86]
[Epoch: 11| Loss: 0.2468| Accuracy: 91.18| Best Accuracy: 91.86]
[Epoch: 12| Loss: 0.2473| Accuracy: 91.14| Best Accuracy: 91.86]
[Epoch: 13| Loss: 0.2478| Accuracy: 91.21| Best Accuracy: 91.86]
[Epoch: 14| Loss: 0.2482| Accuracy: 91.18| Best Accuracy: 91.86]
[Epoch: 15| Loss: 0.2486| Accuracy: 91.18| Best Accuracy: 91.86]
[Epoch: 16| Loss: 0.2490| Accuracy: 91.21| Best Accuracy: 91.86]
[Epoch: 17| Loss: 0.2493| Accuracy: 91.21| Best Accuracy: 91.86]
[Epoch: 18| Loss: 0.2496| Accuracy: 91.21| Best Accuracy: 91.86]
[Epoch: 19| Loss: 0.2499| Accuracy: 91.18| Best Accuracy: 91.86]
[Epoch: 20| Loss: 0.2502| Accuracy: 91.18| Best Accuracy: 91.86]
[Epoch: 21| Loss: 0.2504| Accuracy: 91.21| Best Accuracy: 91.86]
[Epoch: 22| Loss: 0.2506| Accuracy: 91.25| Best Accuracy: 91.86]
[Epoch: 23| Loss: 0.2509| Accuracy: 91.28| Best Accuracy: 91.86]
[Epoch: 24| Loss: 0.2511| Accuracy: 91.31| Best Accuracy: 91.86]
[Epoch: 25| Loss: 0.2512| Accuracy: 91.35| Best Accuracy: 91.86]
[Epoch: 26| Loss: 0.2514| Accuracy: 91.38| Best Accuracy: 91.86]
[Epoch: 27| Loss: 0.2516| Accuracy: 91.48| Best Accuracy: 91.86]
[Epoch: 28| Loss: 0.2517| Accuracy: 91.48| Best Accuracy: 91.86]
[Epoch: 29| Loss: 0.2519| Accuracy: 91.48| Best Accuracy: 91.86]
[Epoch: 30| Loss: 0.2520| Accuracy: 91.48| Best Accuracy: 91.86]
[Epoch: 31| Loss: 0.2522| Accuracy: 91.52| Best Accuracy: 91.86]
[Epoch: 32| Loss: 0.2523| Accuracy: 91.58| Best Accuracy: 91.86]
[Epoch: 33| Loss: 0.2524| Accuracy: 91.65| Best Accuracy: 91.86]
[Epoch: 34| Loss: 0.2525| Accuracy: 91.65| Best Accuracy: 91.86]
[Epoch: 35| Loss: 0.2526| Accuracy: 91.69| Best Accuracy: 91.86]
[Epoch: 36| Loss: 0.2527| Accuracy: 91.69| Best Accuracy: 91.86]
[Epoch: 37| Loss: 0.2528| Accuracy: 91.69| Best Accuracy: 91.86]
[Epoch: 38| Loss: 0.2529| Accuracy: 91.72| Best Accuracy: 91.86]
[Epoch: 39| Loss: 0.2530| Accuracy: 91.72| Best Accuracy: 91.86]
[Epoch: 40| Loss: 0.2531| Accuracy: 91.72| Best Accuracy: 91.86]
[Epoch: 41| Loss: 0.2532| Accuracy: 91.72| Best Accuracy: 91.86]
[Epoch: 42| Loss: 0.2533| Accuracy: 91.75| Best Accuracy: 91.86]
[Epoch: 43| Loss: 0.2534| Accuracy: 91.75| Best Accuracy: 91.86]
